,Year,Area
286,1961,0.404686
287,1961,0.0
288,1961,0.0
289,1961,0.0
290,1961,8.903092
291,1961,16.18744
292,1961,40.4686
293,1961,0.0
294,1961,0.404686
295,1961,1.618744
296,1961,20.2343
297,1961,0.0
298,1961,0.0
299,1961,0.809372
300,1961,0.0
301,1961,0.404686
302,1961,0.809372
303,1961,6.474976
304,1961,0.404686
305,1961,0.809372
306,1961,8.09372
307,1961,1.214058
308,1961,3.237488
309,1961,1.214058
310,1961,0.404686
311,1961,3.237488
312,1961,4.04686
313,1961,0.0
314,1961,0.0
315,1961,0.404686
316,1961,0.404686
317,1961,0.0
318,1961,0.404686
319,1961,5.260918
320,1961,0.404686
321,1961,3499.8256994999997
322,1961,2.832802
323,1961,0.404686
324,1961,24.28116
325,1961,0.0
326,1961,0.0
327,1961,6.07029
328,1961,0.404686
329,1961,919.28067074
330,1961,57.060725999999995
331,1961,0.404686
332,1961,0.0
333,1961,0.0
334,1961,0.0
335,1961,0.0
336,1961,9.712464
337,1961,1.618744
338,1961,0.404686
339,1961,1137.0867228
340,1961,3100.0364001000003
341,1961,6.879662
342,1961,38.040484
343,1961,6.474976
344,1961,10.11715
345,1961,0.0
346,1961,2.02343
347,1961,0.0
348,1961,0.0
349,1961,7.284348
350,1961,0.0
351,1961,1.214058
352,1961,40.4686
353,1961,0.404686
354,1961,2.428116
355,1961,1.618744
356,1961,0.0
357,1961,0.809372
358,1961,2.428116
359,1961,0.404686
360,1961,10.11715
361,1961,0.404686
362,1961,44.51546
363,1961,130.308892
364,1961,0.0
365,1961,0.404686
366,1961,2.428116
367,1961,12.14058
368,1961,113.31208
369,1961,32.37488
370,1961,0.0
371,1961,0.0
372,1961,0.0
373,1961,11.331208
374,1961,0.0
375,1961,0.0
376,1961,0.0
377,1961,0.404686
378,1961,0.0
379,1961,0.0
380,1961,8.09372
381,1961,45.729518
382,1961,0.0
383,1961,13.759324
384,1961,2.428116
385,1961,25.495217999999998
386,1961,0.0
387,1961,3.642174
388,1961,0.0
389,1961,16.592126
390,1961,0.404686
391,1961,0.0
392,1961,0.404686
393,1961,69.605992
394,1961,14.16401
395,1961,0.404686
396,1961,0.0
397,1961,4.856232
398,1961,3.237488
399,1961,0.0
400,1961,1.214058
401,1961,0.0
402,1961,21.853044
403,1961,135.56981
404,1961,0.0
405,1961,953.5818561
406,1961,0.0
407,1961,0.0
408,1961,8.498406
409,1961,1.618744
410,1961,0.0
411,1961,0.809372
412,1961,0.0
413,1961,0.0
414,1961,0.0
415,1961,0.0
416,1961,0.0
417,1961,43.301401999999996
418,1961,0.0
419,1961,0.0
420,1961,0.0
421,1961,0.0
422,1961,0.0
423,1961,0.0
424,1961,0.0
425,1961,14.568696
426,1961,0.0
427,1961,0.0
428,1961,2.02343
429,1961,0.809372
430,1961,0.0
431,1961,0.404686
432,1961,0.0
433,1961,0.0
434,1961,0.0
435,1961,0.0
436,1961,0.0
437,1961,9.712464
438,1961,0.0
439,1961,1.214058
440,1961,0.0
441,1961,0.0
442,1961,0.0
443,1961,0.404686
444,1961,0.0
445,1961,0.0
446,1961,0.0
447,1961,0.0
448,1961,0.0
449,1961,0.809372
450,1961,0.0
451,1961,0.0
452,1961,1.618744
453,1961,0.0
454,1961,0.0
455,1961,49.371691999999996
456,1961,9.307777999999999
457,1961,0.809372
458,1961,6.07029
459,1961,1.214058
460,1961,0.404686
461,1961,3.237488
462,1961,0.0
463,1961,0.0
464,1961,0.0
465,1961,0.0
466,1961,0.0
467,1961,0.0
468,1961,0.0
469,1961,18.21087
470,1961,0.0
471,1961,0.0
472,1961,0.809372
473,1961,20.2343
474,1961,0.0
475,1961,0.0
476,1961,0.0
477,1961,0.0
478,1961,0.0
479,1961,0.0
480,1961,0.0
481,1961,0.809372
482,1961,7.6890339999999995
483,1961,0.0
484,1961,0.404686
485,1961,152.566622
486,1961,45.324832
487,1961,0.0
488,1961,0.0
489,1961,4.04686
490,1961,19.020242
491,1961,0.0
492,1961,1.214058
493,1961,0.404686
494,1961,0.0
495,1961,2.02343
496,1961,0.0
497,1961,0.0
498,1961,45.324832
499,1961,0.404686
500,1961,20.2343
501,1961,0.0
502,1961,0.0
503,1961,0.0
504,1961,10.11715
505,1961,0.0
506,1961,0.0
507,1961,0.404686
508,1961,0.0
509,1961,0.0
510,1961,0.0
511,1961,8.09372
512,1961,1.618744
513,1961,0.404686
514,1961,2.02343
515,1961,6.07029
516,1961,28.32802
517,1961,20.2343
518,1961,1.214058
519,1961,16.18744
520,1961,0.0
521,1961,80.9372
522,1961,6.07029
523,1961,0.404686
524,1961,27.113962
525,1961,0.0
526,1961,32.37488
527,1961,0.404686
528,1961,0.0
529,1961,0.0
530,1961,16.18744
531,1961,0.0
532,1961,16.996812
533,1961,0.0
534,1961,0.0
535,1961,0.404686
536,1961,0.0
537,1961,0.0
538,1961,0.809372
539,1961,0.0
540,1961,38.040484
541,1961,1.214058
542,1961,0.0
543,1961,0.0
544,1961,0.0
545,1961,0.404686
546,1961,0.0
547,1961,6.07029
548,1961,20.2343
549,1961,0.0
550,1961,0.404686
551,1961,0.0
552,1961,0.809372
553,1961,68.79662
554,1961,118.168312
555,1961,0.809372
556,1961,0.0
557,1961,0.0
558,1961,0.0
559,1961,0.404686
560,1961,0.0
561,1961,4.04686
562,1961,24.28116
563,1961,2.02343
564,1961,24.28116
565,1961,0.809372
566,1961,24.28116
567,1961,33.993624
568,1961,2.02343
569,1961,0.0
570,1961,769.58327248
571,1961,0.0
572,1961,3.237488
573,1961,0.0
574,1961,56.65604
575,1961,0.0
576,1961,8.09372
577,1961,4.856232
578,1961,24.28116
579,1961,4.856232
580,1961,40.4686
581,1961,44.51546
582,1961,0.404686
583,1961,1.618744
584,1961,372.59035334000004
585,1961,1.214058
586,1961,1.618744
587,1961,1147.97682306
588,1961,6.07029
589,1961,730.9843218
590,1961,0.0
591,1961,0.0
592,1961,1.618744
593,1961,3.237488
594,1961,3.237488
595,1961,80.9372
596,1961,36.42174
597,1961,0.809372
598,1961,3.642174
599,1961,3181.03025614
600,1961,52.204494
601,1961,113.31208
602,1961,1.214058
603,1961,0.404686
604,1961,30.35145
605,1961,0.0
606,1961,4323.20792882
607,1961,174.419666
608,1961,10.11715
609,1961,345.39140728
610,1961,547.3904241800001
611,1961,88.221548
612,1961,0.809372
613,1961,0.0
614,1961,0.0
615,1961,0.0
616,1961,0.0
617,1961,2.428116
618,1961,0.0
619,1961,8.09372
620,1961,0.404686
621,1961,0.404686
622,1961,4.04686
623,1961,30.756135999999998
624,1961,0.404686
625,1961,4.04686
626,1961,2.428116
627,1961,0.0
628,1961,0.0
629,1961,0.0
630,1961,1.214058
631,1961,0.0
632,1961,4.04686
633,1961,2.02343
634,1961,76.89034
635,1961,2.428116
636,1961,0.0
637,1961,25.090532
638,1961,0.0
639,1961,0.0
640,1961,0.0
641,1961,0.0
642,1961,0.0
643,1961,16.996812
644,1961,0.0
645,1961,35.207682
646,1961,1.618744
647,1961,6.474976
648,1961,3.237488
649,1961,2.02343
650,1961,3.237488
651,1961,12.14058
652,1961,0.0
653,1961,0.0
654,1961,0.0
655,1961,0.0
656,1961,0.404686
657,1961,0.0
