Year,Area
1961,2.832802
1961,2.02343
1961,0.809372
1961,1.214058
1961,0.0
1961,0.0
1961,0.0
1961,377.28066408
1961,0.0
1961,4.04686
1961,491.1876325
1961,2.02343
1961,1715.7674685
1961,0.404686
1961,2.02343
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,264.9883928
1961,524.8858357199999
1961,4.04686
1961,2661.14229252
1961,42.896716
1961,6.07029
1961,2661.34463552
1961,0.404686
1961,30.35145
1961,1.618744
1961,0.809372
1961,0.404686
1961,183.727444
1961,0.404686
1961,0.0
1961,0.0
1961,0.809372
1961,2.428116
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,1.214058
1961,2.832802
1961,0.0
1961,0.404686
1961,0.404686
1961,0.404686
1961,4.856232
1961,0.0
1961,8.09372
1961,0.404686
1961,0.0
1961,0.404686
1961,0.809372
1961,0.0
1961,1.214058
1961,0.0
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,0.404686
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,0.404686
1961,543.59042264
1961,0.0
1961,10.521836
1961,0.0
1961,84.98406
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,418.59101095999995
1961,0.0
1961,2.428116
1961,10.11715
1961,1.214058
1961,40.4686
1961,0.0
1961,2.02343
1961,0.0
1961,1.214058
1961,954.27791602
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,1.214058
1961,1.214058
1961,4.856232
1961,0.809372
1961,24.685845999999998
1961,0.0
1961,0.404686
1961,0.0
1961,328.09108078
1961,0.0
1961,0.0
1961,1.214058
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,30.35145
1961,0.0
1961,4.04686
1961,12806.83074924
1961,12.14058
1961,2.02343
1961,3.237488
1961,4770.3778651
1961,12.14058
1961,0.404686
1961,0.404686
1961,80.9372
1961,103.599616
1961,1.214058
1961,8.09372
1961,44.51546
1961,0.809372
1961,0.0
1961,0.0
1961,0.0
1961,0.404686
1961,1.618744
1961,0.0
1961,0.404686
1961,0.404686
1961,0.0
1961,0.404686
1961,2.02343
1961,8.09372
1961,0.0
1961,1.214058
1961,12.14058
1961,0.404686
1961,0.0
1961,12.14058
1961,0.404686
1961,0.0
1961,455.49028044
1961,3.237488
1961,89.03092
1961,12.14058
1961,68.79662
1961,7724.439978140001
1961,0.0
1961,462.68964437999995
1961,9281.40461338
1961,0.404686
1961,4.04686
1961,0.0
1961,0.0
1961,1.214058
1961,0.0
1961,0.0
1961,121.4058
1961,4.856232
1961,64.74976
1961,1.618744
1961,0.0
1961,0.809372
1961,2.02343
1961,0.0
1961,0.0
1961,0.0
1961,2.428116
1961,159.041598
1961,0.0
1961,4.04686
1961,0.0
1961,55.441981999999996
1961,3.237488
1961,31.565507999999998
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,46.53889
1961,388.49856
1961,0.0
1961,0.0
1961,0.0
1961,0.809372
1961,0.404686
1961,1191.97428498
1961,56.251354
1961,4109.83723532
1961,0.809372
1961,1.618744
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,105.21836
1961,0.809372
1961,14.973381999999999
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,1609.46455002
1961,555.8969239
1961,0.0
1961,4.856232
1961,91.863722
1961,30.756135999999998
1961,0.809372
1961,0.0
1961,0.809372
1961,4.04686
1961,2.02343
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,1.618744
1961,6.07029
1961,19.829614
1961,196.27271
1961,0.0
1961,62.321644
1961,1.618744
1961,2009.95800306
1961,481.00168587999997
1961,2.02343
1961,0.809372
1961,0.404686
1961,0.0
1961,0.0
1961,6.879662
1961,0.404686
1961,48.157634
1961,19.424928
1961,26.709276
1961,13.354638
1961,0.0
1961,0.404686
1961,24.28116
1961,12.14058
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,8.903092
1961,16.18744
1961,40.4686
1961,0.0
1961,0.404686
1961,1.618744
1961,20.2343
1961,0.0
1961,0.0
1961,0.809372
1961,0.0
1961,0.404686
1961,0.809372
1961,6.474976
1961,0.404686
1961,0.809372
1961,8.09372
1961,1.214058
1961,3.237488
1961,1.214058
1961,0.404686
1961,3.237488
1961,4.04686
1961,0.0
1961,0.0
1961,0.404686
1961,0.404686
1961,0.0
1961,0.404686
1961,5.260918
1961,0.404686
1961,3499.8256994999997
1961,2.832802
1961,0.404686
1961,24.28116
1961,0.0
1961,0.0
1961,6.07029
1961,0.404686
1961,919.28067074
1961,57.060725999999995
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,9.712464
1961,1.618744
1961,0.404686
1961,1137.0867228
1961,3100.0364001000003
1961,6.879662
1961,38.040484
1961,6.474976
1961,10.11715
1961,0.0
1961,2.02343
1961,0.0
1961,0.0
1961,7.284348
1961,0.0
1961,1.214058
1961,40.4686
1961,0.404686
1961,2.428116
1961,1.618744
1961,0.0
1961,0.809372
1961,2.428116
1961,0.404686
1961,10.11715
1961,0.404686
1961,44.51546
1961,130.308892
1961,0.0
1961,0.404686
1961,2.428116
1961,12.14058
1961,113.31208
1961,32.37488
1961,0.0
1961,0.0
1961,0.0
1961,11.331208
1961,0.0
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,8.09372
1961,45.729518
1961,0.0
1961,13.759324
1961,2.428116
1961,25.495217999999998
1961,0.0
1961,3.642174
1961,0.0
1961,16.592126
1961,0.404686
1961,0.0
1961,0.404686
1961,69.605992
1961,14.16401
1961,0.404686
1961,0.0
1961,4.856232
1961,3.237488
1961,0.0
1961,1.214058
1961,0.0
1961,21.853044
1961,135.56981
1961,0.0
1961,953.5818561
1961,0.0
1961,0.0
1961,8.498406
1961,1.618744
1961,0.0
1961,0.809372
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,43.301401999999996
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,14.568696
1961,0.0
1961,0.0
1961,2.02343
1961,0.809372
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,9.712464
1961,0.0
1961,1.214058
1961,0.0
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.809372
1961,0.0
1961,0.0
1961,1.618744
1961,0.0
1961,0.0
1961,49.371691999999996
1961,9.307777999999999
1961,0.809372
1961,6.07029
1961,1.214058
1961,0.404686
1961,3.237488
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,18.21087
1961,0.0
1961,0.0
1961,0.809372
1961,20.2343
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.0
1961,0.809372
1961,7.6890339999999995
1961,0.0
1961,0.404686
1961,152.566622
1961,45.324832
1961,0.0
1961,0.0
1961,4.04686
1961,19.020242
1961,0.0
1961,1.214058
1961,0.404686
1961,0.0
1961,2.02343
1961,0.0
1961,0.0
1961,45.324832
1961,0.404686
1961,20.2343
1961,0.0
1961,0.0
1961,0.0
1961,10.11715
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,0.0
1961,8.09372
1961,1.618744
1961,0.404686
1961,2.02343
1961,6.07029
1961,28.32802
1961,20.2343
1961,1.214058
1961,16.18744
1961,0.0
1961,80.9372
1961,6.07029
1961,0.404686
1961,27.113962
1961,0.0
1961,32.37488
1961,0.404686
1961,0.0
1961,0.0
1961,16.18744
1961,0.0
1961,16.996812
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,0.0
1961,0.809372
1961,0.0
1961,38.040484
1961,1.214058
1961,0.0
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,6.07029
1961,20.2343
1961,0.0
1961,0.404686
1961,0.0
1961,0.809372
1961,68.79662
1961,118.168312
1961,0.809372
1961,0.0
1961,0.0
1961,0.0
1961,0.404686
1961,0.0
1961,4.04686
1961,24.28116
1961,2.02343
1961,24.28116
1961,0.809372
1961,24.28116
1961,33.993624
1961,2.02343
1961,0.0
1961,769.58327248
1961,0.0
1961,3.237488
1961,0.0
1961,56.65604
1961,0.0
1961,8.09372
1961,4.856232
1961,24.28116
1961,4.856232
1961,40.4686
1961,44.51546
1961,0.404686
1961,1.618744
1961,372.59035334000004
1961,1.214058
1961,1.618744
1961,1147.97682306
1961,6.07029
1961,730.9843218
1961,0.0
1961,0.0
1961,1.618744
1961,3.237488
1961,3.237488
1961,80.9372
1961,36.42174
1961,0.809372
1961,3.642174
1961,3181.03025614
1961,52.204494
1961,113.31208
1961,1.214058
1961,0.404686
1961,30.35145
1961,0.0
1961,4323.20792882
1961,174.419666
1961,10.11715
1961,345.39140728
1961,547.3904241800001
1961,88.221548
1961,0.809372
1961,0.0
