"LAT","LONG","FIRENUMBER","FOREST","DISTRICT","YEAR","FIRENO","SIZECLAS","LS","SECTION","TWNSHIP","RANGE","MER","FORAREA","OWNSHIP","GENCAUSE","SPECAUSE","CAUSECLA","AGENCY","LOOKOUT","REPTD","TWDVEHI","FWDVEHI","TKEDVEHI","HCOPTER","FW","WALK","OTHERS","HRSTART","DAY","MON","HRDISC","DDAY","DMON","DISCTIME","REPDTIME","CREWSTAR","CREWBGN","CONTROL","EXTINGSED","PRIFUEL","SECFUEL","COVER","GFIREWX","OFIREWX","WINDIR","WINDVEL","WINDCHAR","ADMC","FWI","MEN","DOZERS","FWBOMBER","HEL","POWPUMPS","TANKERS","OTHER","MAXNOMEN","DISSIZE","IASIZE","RFAREA","CROWN","PRIVATE","TOTAL","MERAC","YCAC","YDAC","YMAC","POTAC","NOPOTAC","MFBM","CCORDS","DCORDS","DSANT","PRODV","PPV","SUPCOST"
57.1225,-111.2193,"DA3-002-61","A","3",61,2,5,"00",4,94,8,4,0,1,1,1,0,2,NA,1,0,0,0,0,0,0,0,150,4,6,130,5,6,220,0,0,0,1165,1257,0,1,0,0,0,0,7,0,0,0,18,0,0,0,0,0,0,0,10,10,0,1213.75,0,1213.75,0,0,0,0,0,0,0,0,0,0,0,0,11972
57.7477,-113.0206,"DA3-003-61","A","3",61,3,2,"00",10,101,19,4,0,1,9,27,8,5,NA,1,0,0,0,15,0,0,0,120,9,6,160,11,6,520,10,10,5,5,125,0,1,0,0,0,4,7,0,0,0,2,0,0,0,0,0,0,0,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,453
57.7241,-113.6736,"DA3-004-61","A","3",61,4,5,"09",34,100,23,4,0,1,1,1,0,1,"SF",2,0,0,0,5,25,0,0,190,9,6,205,10,6,255,0,99,90,2595,250,0,1,0,0,0,0,15,0,0,0,6,0,0,0,0,0,0,0,10,15,0,4239.75,0,4239.75,0,0,0,0,0,0,0,0,0,0,0,0,37036
57.7041,-113.7317,"DA3-005-61","A","3",61,5,2,"00",29,100,23,4,0,1,1,1,0,4,NA,1,0,0,0,1,0,0,0,195,13,6,195,13,6,0,0,0,0,122,460,0,1,0,0,0,5,5,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1030
57.1371,-111.2193,"DA3-006-61","A","3",61,6,2,"00",9,94,8,4,0,1,1,1,0,1,"MU",1,0,0,0,16,0,0,38,195,15,6,166,16,6,211,1,33,5,35,1070,0,1,0,0,0,8,10,0,0,0,1,0,0,0,0,0,0,0,1,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1691
57.4515,-111.6879,"DA3-007-61","A","3",61,7,1,"16",27,97,11,4,0,1,1,1,0,5,NA,2,0,0,0,50,0,0,0,170,21,6,150,22,6,220,5,5,18,12,12,0,6,0,0,0,6,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858
57.695,-111.3553,"DA3-008-61","A","3",61,8,1,"10",23,100,9,4,0,1,1,1,0,1,"BI",2,0,0,0,40,70,0,0,160,19,7,160,20,7,240,0,5,10,31,422,0,1,0,0,0,8,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814
57.4115,-110.3469,"DA3-009-61","A","3",61,9,1,"03",13,97,3,4,0,1,1,1,0,5,NA,1,0,0,0,10,80,0,0,160,21,7,172,21,7,12,1,2,20,15,100,0,1,0,0,0,8,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023
57.1606,-111.6383,"DA3-010-61","A","3",61,10,1,"13",13,94,11,4,0,1,8,7,0,5,NA,1,0,0,0,0,0,0,3,120,25,7,130,25,7,10,1,4,7,5,181,6,9,0,0,0,8,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344
57.157,-111.6652,"DA3-011-61","A","3",61,11,1,"12",14,94,11,4,0,1,6,11,0,7,NA,2,0,0,0,0,0,0,2,160,30,7,170,30,7,10,0,5,5,19,106,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
